,,,,,,,,,,,,"""=LOOKUP(RAND(), $I$51:$I$54, $G$51:$G$54)""",,,,,,,,,,,Distance Between (km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,97,46.4404964,-81.002171,36000,Walmart Supercentre,,,97,46.4404964,-81.002171,,,,97,588.583,552.541,534.954,482.238,390.822,393.592,438.048,424.008,425.6,414.152,506.376,419.007,497.929,372.896,394.618,481.836,388.319,485.326,395.697,499.459,234.578,387.302,389.151,480.221,370.432,239.782,383.889,388.039,391.22,363.216,350.746,371.808,345.122,377.193,134.965,267.23,351.252,369.179,373.387,341.519,365.732,355.528,359.057,369.098,380.766,352.091,381.558,325.553,368.609,389.067,230.362,396.648,295.681,389.02,373.521,396.011,359.323,289.019,406.865,380.641,436.653,392.039,448.1,387.829,390.763,416.813,427.178,391.458,438.528,325.016,397.98,256.383,440.88,434.89,282.675,160.853,448.314,373.363,436.27,319.428,471.902,443.215,503.16,440.011,411.772,449.99,459.081,457.635,463.793,462.61,523.964,489.46,378.256,12.729,493.013,431.473,386.786,0,551.207,536.353,541.269,535.769,543.346,304.66,429.27,576.767,476.687,645.958,635.113,472.689,656.231,647.608,305.032,315.057,384.571,588.064,551.82,456.436,535.889,483.084,475.095,394.154,407.255,494.225,492.607,398.343,233.556,383.624,239.575,380.241,387.294,382.307,377.267,400.159,392.404,268.229,131.566,352.821,354.242,380.532,383.61,450.332,450.848,296.776,404.807,404.157,373.62,286.06,231.597,394.178,426.138,448.091,160.507,373.54,319.791,468.009,516.394,439.993,454.732,457.414,489.379,390.801,504.829,378.099,0.575,535.435,542.542,444.9,476.52,643.144,673.533,304.844,313.668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,98,42.7816032,-81.1695819,27000,Walmart Supercentre,,,98,42.7816032,-81.1695819,,,,98,409.021,372.98,355.393,302.676,321.599,315.966,272.31,258.271,246.038,248.414,219.237,235.328,210.79,254.657,217.271,194.697,222.581,198.187,218.35,212.32,388.778,221.564,211.804,193.082,231.704,354.442,218.152,210.692,211.649,210.913,230.83,206.07,237.13,199.212,510.055,299.334,253.665,203.442,190.366,231.129,199.994,203.876,194.74,186.673,188.635,201.213,183.273,232.036,190.194,181.02,667.748,175.142,256.268,171.709,182.811,172.344,200.766,265.511,171.214,176.551,149.09,187.95,146.206,183.739,163.343,154.723,148.156,171.801,151.003,255.277,154.448,312.193,136.729,143.236,299.217,392.843,124.254,187.469,136.012,253.13,102.598,133.794,79.602,112.772,160.686,114.272,124.533,114.699,129.245,116.691,42.059,62.783,233.593,564.193,96.146,125.214,178.684,551.379,0,28.806,29.663,21.164,34.69,853.251,233.297,54.444,144.375,117.683,112.79,996.924,127.956,125.285,685.878,675.078,171.385,408.503,372.259,390.714,356.327,303.523,295.534,315.922,229.6,207.087,205.469,220.996,390.615,217.886,354.235,214.504,208.798,216.57,211.529,202.011,197.486,297.503,513.595,201.17,198.433,188.4,182.716,163.194,163.709,256.931,172.237,163.393,182.91,265.498,319.989,162.888,147.939,137.047,392.496,187.63,253.784,104.156,79.091,112.811,120.184,114.827,62.702,167.123,46.723,233.511,551.247,18.885,78.115,198.389,144.208,120.821,145.258,685.52,674.456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,99,43.0018851,-81.1711164,18000,Walmart Supercentre,,,99,43.0018851,-81.1711164,,,,99,395.39,359.349,341.762,289.046,307.968,302.335,258.679,244.64,232.408,234.784,205.606,221.697,197.159,241.026,203.64,181.066,208.95,184.556,204.72,198.69,375.147,207.934,198.174,179.452,218.073,340.811,204.521,197.061,198.018,197.282,217.199,192.439,223.499,185.581,496.424,285.703,240.035,189.811,176.735,217.498,186.364,190.245,181.109,173.042,175.004,187.582,169.643,218.405,176.563,167.389,654.117,161.511,242.637,158.079,169.18,158.713,187.135,251.88,157.583,162.92,135.459,174.319,132.575,170.108,149.712,141.092,134.525,158.17,137.372,241.647,140.817,298.562,123.098,129.605,285.586,379.212,110.624,173.838,122.381,224.843,88.968,120.163,97.667,99.141,147.056,100.641,110.902,101.068,115.615,103.06,56.362,49.152,199.234,550.563,58.745,93.168,154.355,537.749,28.885,0,6.176,12.069,18.636,839.62,188.41,54.433,103.219,123.625,112.78,983.293,133.897,125.275,685.867,675.067,157.754,394.872,358.628,377.083,342.696,289.892,281.903,302.291,215.969,193.456,191.838,207.365,376.984,204.255,340.604,200.873,195.167,202.939,197.898,188.381,183.855,283.872,499.964,187.539,184.802,174.769,169.085,149.563,150.078,243.3,158.607,149.762,169.279,251.867,306.358,149.258,134.308,123.417,378.866,173.999,225.496,90.525,97.156,99.18,106.553,101.196,49.071,132.764,33.092,199.152,537.617,13.101,54.789,156.385,103.052,120.811,151.2,685.509,674.445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,100,43.018316,-81.2169292,18000,Walmart,,,100,43.018316,-81.2169292,,,,100,400.497,364.455,346.868,294.152,313.075,307.441,263.785,249.746,237.514,239.89,210.712,226.804,202.266,246.132,208.746,186.172,214.057,189.662,209.826,203.796,380.253,213.04,203.28,184.558,223.179,345.917,209.627,202.167,203.124,202.388,222.306,197.546,228.605,190.687,501.531,290.809,245.141,194.917,181.841,222.604,191.47,195.352,186.216,178.149,180.11,192.689,174.749,223.511,181.67,172.495,659.224,166.617,247.743,163.185,174.286,163.819,192.242,256.987,162.69,168.027,140.565,179.425,137.682,175.215,154.818,146.198,139.631,163.276,142.478,246.753,145.923,303.668,128.204,134.711,290.692,384.318,115.73,163.089,127.487,227.329,94.074,125.269,102.773,104.247,137.541,105.747,101.388,88.3,106.1,88.278,61.468,54.258,200.302,555.669,58.571,93.521,149.541,542.855,29.404,6.142,0,12.588,12.933,844.726,185.475,40.921,97.402,124.144,100.951,988.4,134.416,113.446,674.038,663.239,162.86,399.978,363.734,382.189,347.803,294.998,287.009,307.398,221.075,198.562,196.944,212.471,382.09,209.362,345.711,205.979,200.274,208.045,203.004,193.487,188.961,288.978,505.07,192.645,189.908,179.876,174.191,154.669,155.185,248.406,163.713,154.869,174.386,256.974,311.465,154.364,139.414,128.523,383.972,163.25,227.983,95.631,102.262,104.286,97.039,88.079,54.177,133.832,38.198,200.22,542.723,13.62,48.972,150.568,97.234,108.982,151.718,673.68,662.616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,101,42.9323329,-81.2243769,27000,Walmart Supercentre,,,101,42.9323329,-81.2243769,,,,101,395.104,359.062,341.475,288.759,307.681,302.048,258.392,244.353,232.121,234.497,205.319,221.41,196.872,240.739,203.353,180.779,208.664,184.269,204.433,198.403,374.86,207.647,197.887,179.165,217.786,340.524,204.234,196.774,197.731,196.995,216.912,192.152,223.212,185.294,496.138,285.416,239.748,189.524,176.448,217.211,186.077,189.959,180.823,172.756,174.717,187.295,169.356,218.118,176.276,167.102,653.831,161.224,242.35,157.792,168.893,158.426,186.848,251.594,157.296,162.633,135.172,174.032,132.289,169.822,149.425,140.805,134.238,157.883,137.085,241.36,140.53,298.275,122.811,129.318,285.299,378.925,110.337,173.551,122.094,239.213,88.681,119.876,97.38,98.854,146.769,100.354,110.616,100.782,115.328,102.773,56.075,48.865,219.675,550.276,82.228,108.863,161.997,537.462,20.754,12.119,12.976,0,18.054,839.333,192.107,43.814,104.034,113.005,102.16,983.006,123.278,114.655,675.248,664.448,157.467,394.585,358.341,376.796,342.41,289.605,281.616,302.004,215.682,193.169,191.551,207.078,376.697,203.969,340.317,200.586,194.881,202.652,197.611,188.094,183.568,283.585,499.677,187.252,184.515,174.482,168.798,149.276,149.792,243.013,158.32,149.476,168.993,251.581,306.071,148.971,134.021,123.13,378.579,173.712,239.866,90.238,96.869,98.893,106.266,100.909,48.784,153.205,32.805,219.593,537.33,2.405,61.428,157.199,103.866,110.191,140.58,674.89,663.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,102,43.0088016,-81.3304894,36000,Walmart Supercentre,,,102,43.0088016,-81.3304894,,,,102,401.851,365.81,348.223,295.506,314.429,308.796,265.14,251.101,238.868,241.244,222.639,228.158,214.192,247.487,210.101,198.099,215.411,201.589,211.18,215.722,381.608,214.394,204.634,196.484,224.534,347.272,210.982,203.522,204.479,203.743,223.66,198.9,229.96,194.828,502.885,292.164,246.495,196.272,183.196,223.959,192.824,196.706,187.57,179.503,181.465,194.043,176.104,224.866,183.024,173.85,660.578,167.972,249.098,164.539,175.641,165.174,193.596,258.341,168.577,169.381,152.492,180.78,149.608,176.569,156.173,158.125,151.558,164.631,154.405,248.108,147.278,305.023,140.131,146.638,248.848,385.673,127.656,180.23,128.842,231.481,106,126.173,114.7,105.602,148.018,105.618,111.864,98.776,116.577,98.755,73.395,66.185,204.454,557.024,66.533,96.251,152.254,544.209,38.785,18.604,12.866,18.007,0,846.081,181.073,26.336,93,105.933,86.366,989.754,113.9,98.861,659.453,648.653,164.215,401.333,365.089,383.544,349.157,296.353,288.364,308.752,222.43,210.489,208.871,213.826,383.445,210.716,347.065,207.334,201.628,209.4,204.359,197.628,193.102,290.333,506.425,194,191.263,181.23,186.118,166.596,167.111,249.761,166.519,166.795,175.74,258.328,312.819,155.718,151.341,140.449,385.326,180.391,232.134,107.558,114.189,105.641,107.515,98.556,66.104,137.984,50.125,204.372,544.077,21.249,45.119,146.165,92.832,94.397,153.958,659.095,648.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,103,48.4748525,-81.3932208,27000,Walmart Supercentre,,,103,48.4748525,-81.3932208,,,,103,778.338,854.254,836.668,783.951,683.779,686.548,739.761,725.722,727.313,715.866,808.089,720.721,799.643,674.61,696.331,783.549,690.032,787.039,697.411,801.173,490.542,689.015,690.865,781.935,672.146,524.583,685.603,689.752,692.934,664.929,652.46,673.521,646.836,678.907,367.654,568.944,652.965,670.893,675.101,643.232,667.446,657.241,660.77,670.812,682.48,653.804,683.272,627.267,670.323,690.78,209.489,698.361,597.394,690.734,675.234,697.724,661.036,590.733,708.579,682.354,738.367,693.753,749.813,689.543,692.476,718.527,728.891,693.171,740.242,626.729,699.693,558.096,742.593,736.603,584.389,462.567,750.028,675.076,737.984,621.142,773.616,744.929,804.874,741.725,713.486,751.704,760.794,759.349,765.506,764.324,825.678,791.173,679.969,293.647,794.726,733.187,688.5,305.954,852.92,838.067,842.983,837.482,845.06,0,730.983,878.48,778.401,947.672,936.827,168.768,957.945,949.322,430.455,443.88,686.284,777.819,853.534,717.193,837.602,784.798,776.808,687.111,708.969,795.939,794.321,700.056,492.378,685.337,524.376,681.955,689.007,684.021,678.98,701.872,694.118,569.943,364.246,654.535,655.956,682.245,685.324,752.046,752.562,598.49,706.521,705.871,675.334,587.773,533.31,695.891,727.851,749.805,462.22,675.254,621.505,769.723,818.107,741.706,756.445,759.128,791.093,692.515,806.543,679.813,305.822,837.148,844.256,746.613,778.233,944.858,975.247,430.511,442.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,104,44.4224155,-81.3951171,27000,Walmart Supercentre,,,104,44.4224155,-81.3951171,,,,104,442.282,406.24,388.654,335.937,341.036,335.403,291.747,277.708,279.299,267.852,278.424,272.707,269.977,226.892,239.86,253.884,242.018,257.374,240.94,271.508,278.249,241.002,234.394,252.27,224.428,243.913,237.589,233.281,234.238,230.35,205.186,225.507,199.118,224.561,399.527,186.564,204.514,222.879,212.955,195.515,219.432,209.511,214.177,209.263,211.197,206.074,205.971,177.75,209.631,202.854,557.22,198.332,173.252,194.904,191.974,195.538,179.685,163.874,193.678,190.602,208.702,181.386,217.038,181.484,185.432,192.332,191.745,181.839,210.577,151.048,183.199,166.928,199.261,187.737,132.368,271.619,207.994,142.942,148.168,109.927,193.188,140.942,226.771,167.567,126.235,157.798,148.004,161.907,142.907,151.766,219.666,189.818,48.254,442.97,155.157,98.101,58.429,430.156,232.831,190.203,185.425,192.031,181.035,732.027,0,186.795,88.432,256.849,204.269,886.396,250.174,216.764,732.399,766.557,198.284,441.764,405.52,410.151,389.588,336.784,328.794,335.359,252.189,266.274,264.656,243.585,280.086,237.323,243.707,233.941,240.993,236.007,230.966,227.36,222.835,187.562,403.066,206.804,208.225,210.963,205.878,222.381,222.896,172.544,196.88,205.43,191.812,163.816,198.766,186.083,198.158,207.879,271.273,142.515,108.71,196.774,226.26,167.606,152.603,161.687,190.947,90.409,200.531,48.172,430.024,222.298,135.136,35.216,88.406,212.3,304.017,732.211,765.935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,105,42.9490133,-81.6064712,27000,Walmart Supercentre,,,105,42.9490133,-81.6064712,,,,105,434.73,398.688,381.101,328.385,347.308,341.674,298.018,283.979,271.747,274.123,244.945,261.037,236.499,280.365,242.979,220.405,248.29,223.895,244.059,238.029,414.486,247.273,237.513,218.791,257.412,380.15,243.86,236.4,237.357,236.621,256.539,231.779,262.838,224.92,535.764,325.042,279.374,229.15,216.074,256.837,225.703,229.585,220.449,212.382,214.343,226.922,208.982,257.744,215.903,206.728,693.457,200.85,281.976,197.418,208.519,198.052,226.475,291.22,196.923,202.26,174.798,213.658,171.915,209.448,189.051,180.431,173.864,197.509,176.711,280.986,180.156,337.901,162.437,168.944,324.925,418.551,149.963,213.177,161.72,247.473,128.307,159.502,137.006,138.48,186.395,139.98,150.242,140.408,154.954,142.399,95.701,88.491,220.447,589.902,82.526,112.244,168.247,577.088,52.862,54.538,41.085,43.728,26.49,878.959,187.26,0,98.338,91.759,70.722,1022.633,96.751,83.217,643.81,633.01,197.093,434.211,397.967,416.422,382.036,329.231,321.242,341.631,255.308,232.795,231.177,246.704,416.323,243.595,379.944,240.212,234.507,242.278,237.237,227.72,223.194,323.211,539.303,226.878,224.141,214.109,208.424,188.902,189.418,282.639,197.946,189.102,208.619,291.207,345.698,188.597,173.647,162.756,418.205,213.338,248.127,129.864,136.495,138.519,145.893,140.535,88.41,153.977,72.431,220.365,576.956,42.329,56.145,152.352,98.171,78.753,141.735,643.451,632.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,106,43.7314484,-81.687157,18000,Walmart Supercentre,,,106,43.7314484,-81.687157,,,,106,427.7,391.659,374.072,321.356,340.278,334.645,290.989,276.95,264.718,267.093,262.892,254.007,254.445,273.336,235.95,238.352,241.26,241.841,237.029,255.975,330.576,240.243,230.484,236.737,250.383,296.24,236.831,229.371,230.328,229.592,249.509,224.749,209.203,220.677,451.853,241.132,227.993,222.121,209.045,205.6,218.674,222.555,213.419,205.352,207.314,219.892,201.953,206.793,208.873,199.699,609.546,193.821,203.028,190.388,201.49,191.023,189.771,206.071,194.426,195.23,193.169,206.629,207.384,202.418,182.022,180.79,182.842,190.48,195.044,177.52,173.127,235.121,197.907,172.204,195.794,318.673,185.432,151.75,154.691,182.556,163.776,143.163,172.55,131.451,131.604,121.681,113.229,114.84,110.165,109.164,138.655,119.983,147.255,490.024,76.497,77.659,95.027,477.21,143.95,103.85,97.432,103.986,92.99,779.081,88.461,97.913,0,171.219,118.64,938.722,164.544,131.135,691.727,680.927,190.064,427.182,390.938,409.393,375.006,322.202,314.213,334.601,248.279,250.741,249.123,239.675,332.413,236.565,296.033,233.183,227.477,235.249,230.208,223.477,218.951,239.301,455.393,219.849,217.112,207.079,201.859,206.848,207.364,204.406,192.368,200.918,201.589,206.072,245.819,181.568,182.626,198.225,318.327,151.912,183.38,165.334,172.039,131.49,123.579,114.619,120.368,101.35,119.52,147.173,477.078,133.417,47.091,53.553,0.167,126.671,218.387,691.369,680.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,107,42.4342678,-82.2193784,27000,Walmart Supercentre,,,107,42.4342678,-82.2193784,,,,107,504.771,468.729,451.143,398.426,417.349,411.715,368.06,354.02,341.788,344.164,314.987,331.078,306.54,350.406,313.02,290.447,318.331,293.936,314.1,308.07,484.528,317.314,307.554,288.832,327.453,450.192,313.901,306.441,307.399,306.662,326.58,301.82,332.88,294.961,605.805,395.084,349.415,299.191,286.115,326.878,295.744,299.626,290.49,282.423,284.384,296.963,279.023,327.785,285.944,276.769,763.498,270.891,352.017,267.459,278.56,268.094,296.516,361.261,266.964,272.301,244.839,283.699,241.956,279.489,259.092,250.472,243.905,267.55,246.753,351.027,250.198,407.942,232.479,238.985,394.967,488.593,220.004,283.218,231.761,348.88,198.348,229.543,207.047,208.521,256.436,210.022,220.283,210.449,224.995,212.44,165.743,158.532,315.683,659.943,191.896,201.083,257.086,647.129,116.861,124.579,125.437,113.769,105.973,949,256.889,91.241,171.22,0,69.534,1092.674,22.534,83.639,644.231,633.431,267.134,504.252,468.009,486.463,452.077,399.272,391.283,411.672,325.349,302.836,301.218,316.745,486.364,313.636,449.985,310.253,304.548,312.319,307.279,297.761,293.235,393.252,609.344,296.92,294.183,284.15,278.466,258.943,259.459,352.68,267.987,259.143,278.66,361.248,415.739,258.638,243.689,232.797,488.246,283.38,349.534,199.906,206.537,208.56,215.934,210.577,158.452,262.873,142.472,315.601,646.997,112.37,145.394,221.981,171.194,79.174,42.449,643.873,632.809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,108,42.9887285,-82.3476699,18000,Walmart Supercentre,,,108,42.9887285,-82.3476699,,,,108,493.56,457.518,439.931,387.215,406.137,400.504,356.848,342.809,330.577,332.953,303.775,319.866,295.328,339.195,301.809,279.235,307.12,282.725,302.889,296.859,473.316,306.103,296.343,277.621,316.242,438.98,302.69,295.23,296.187,295.451,315.368,290.608,321.668,283.75,594.594,383.872,338.204,287.98,274.904,315.667,284.533,288.415,279.279,271.212,273.173,285.751,267.812,316.574,274.732,265.558,752.287,259.68,340.806,256.248,267.349,256.882,285.304,350.05,255.752,261.089,233.628,272.488,230.745,268.278,247.881,239.261,232.694,256.339,235.541,339.816,238.986,396.731,221.267,227.774,383.755,477.381,208.793,272.007,220.55,291.628,187.137,218.332,195.836,197.31,245.225,198.81,209.071,199.238,213.784,201.229,154.531,147.321,263.11,648.732,139.886,169.604,204.496,635.918,111.692,113.368,101.573,102.558,86.977,937.789,204.316,66.057,118.647,69.571,0,1081.462,48.894,17.082,577.674,566.874,255.923,493.041,456.797,475.252,440.866,388.061,380.072,400.46,314.138,291.625,290.007,305.534,475.153,302.425,438.773,299.042,293.337,301.108,296.067,286.55,282.024,382.041,598.133,285.708,282.971,272.938,267.254,247.732,248.248,341.469,256.776,247.932,267.449,350.036,404.527,247.427,232.477,221.586,477.035,272.168,292.281,188.694,195.325,197.349,204.722,199.365,147.24,198.131,131.261,263.028,635.786,101.159,92.821,169.409,118.621,12.617,109.594,577.316,566.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,109,49.4020415,-82.3793521,9000,Walmart,,,109,49.4020415,-82.3793521,,,,109,898.515,920.519,902.932,850.215,803.956,806.726,803.992,789.416,791.256,783.591,952.394,795.05,943.948,768.815,840.636,927.854,834.337,931.344,841.716,945.478,610.719,833.321,835.17,926.24,791.938,644.76,829.908,834.057,837.239,809.234,796.765,817.826,791.141,823.212,487.831,700.936,768.668,815.198,819.406,787.537,811.751,801.546,805.075,815.117,826.785,798.109,827.577,771.572,814.628,835.085,329.666,842.666,741.699,835.039,819.539,842.029,805.341,735.038,852.884,826.66,882.672,838.058,894.118,833.848,836.782,862.832,873.196,837.477,884.547,771.034,843.998,726.169,886.898,880.909,752.462,630.639,894.333,819.381,882.289,776.052,917.921,889.234,949.179,886.03,857.791,896.009,905.099,903.654,909.811,908.629,969.983,935.478,834.88,461.72,939.032,884.311,843.411,474.026,997.225,982.372,987.288,981.787,989.365,168.812,885.894,1022.785,943.456,1091.977,1081.132,0,1102.25,1093.627,642.198,655.623,830.589,897.996,919.798,837.37,903.866,851.062,843.073,807.288,803.062,940.244,938.626,844.361,612.556,829.642,644.553,826.26,833.312,828.326,823.285,846.177,838.423,701.935,484.423,798.84,800.261,826.55,829.629,896.351,896.867,742.795,850.826,850.176,819.639,735.025,701.383,840.196,872.156,894.11,630.293,819.559,776.416,914.028,962.412,886.011,900.75,903.433,935.398,843.639,950.848,834.724,473.894,981.454,988.561,915.149,943.289,1089.163,1119.552,642.254,654.234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,110,42.5854361,-82.3856978,18000,Walmart Supercentre,,,110,42.5854361,-82.3856978,,,,110,515.445,479.403,461.817,409.1,428.023,422.39,378.734,364.695,352.462,354.838,325.661,341.752,317.214,361.08,323.695,301.121,329.005,304.611,324.774,318.744,495.202,327.988,318.228,299.506,338.128,460.866,324.576,317.115,318.073,317.337,337.254,312.494,343.554,305.636,616.479,405.758,360.089,309.865,296.789,337.553,306.418,310.3,301.164,293.097,295.058,307.637,289.697,338.459,296.618,287.444,774.172,281.565,362.691,278.133,289.234,278.768,307.19,371.935,277.638,282.975,255.513,294.373,252.63,290.163,269.766,261.147,254.579,278.225,257.427,361.701,260.872,418.617,243.153,249.66,405.641,499.267,230.678,293.893,242.435,359.554,209.022,240.218,217.721,219.196,267.11,220.696,230.957,221.123,235.669,223.114,176.417,169.206,309.142,670.617,202.57,215.493,250.527,657.803,127.536,135.254,136.111,124.444,113.94,959.674,250.348,96.471,164.679,22.523,48.866,1103.348,0,62.971,623.563,612.764,277.808,514.926,478.683,497.138,462.751,409.947,401.957,422.346,336.023,313.51,311.892,327.42,497.038,324.31,460.659,320.928,315.222,322.993,317.953,308.435,303.91,403.927,620.019,307.594,304.857,294.824,289.14,269.617,270.133,363.354,278.661,269.817,289.334,371.922,426.413,269.312,254.363,243.471,498.92,294.054,360.208,210.58,217.211,219.235,226.608,221.251,169.126,244.162,153.146,309.06,657.671,123.044,138.853,215.44,164.653,58.507,62.546,623.205,612.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,111,43.0490531,-82.4604415,18000,Walmart Supercenter,,,111,43.0490531,-82.4604415,,,,111,506.143,470.101,452.514,399.798,418.721,413.087,369.431,355.392,343.16,345.536,316.358,332.449,307.912,351.778,314.392,291.818,319.703,295.308,315.472,309.442,485.899,318.686,308.926,290.204,328.825,451.563,315.273,307.813,308.77,308.034,327.951,303.191,334.251,296.333,607.177,396.455,350.787,300.563,287.487,328.25,297.116,300.998,291.862,283.795,285.756,298.335,280.395,329.157,287.316,278.141,764.87,272.263,353.389,268.831,279.932,269.465,297.888,362.633,268.335,273.672,246.211,285.071,243.328,280.861,260.464,251.844,245.277,268.922,248.124,352.399,251.569,409.314,233.85,240.357,396.338,489.964,221.376,284.59,233.133,304.211,199.72,230.915,208.419,209.893,257.808,211.393,221.655,211.821,226.367,213.812,167.114,159.904,275.693,661.315,152.469,182.187,217.079,648.501,124.275,125.951,114.156,115.141,99.56,950.372,216.9,78.64,131.23,83.371,16.17,1094.046,62.694,0,572.885,562.085,268.506,505.624,469.38,487.835,453.449,400.644,392.655,413.044,326.721,304.208,302.59,318.117,487.736,315.008,451.357,311.625,305.92,313.691,308.65,299.133,294.607,394.624,610.716,298.291,295.554,285.521,279.837,260.315,260.831,354.052,269.359,260.515,280.032,362.62,417.111,260.01,245.06,234.169,489.618,284.751,304.864,201.277,207.908,209.932,217.306,211.948,159.823,210.714,143.844,275.611,648.369,113.742,105.404,181.992,131.204,7.191,123.394,572.527,561.463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,112,46.5413238,-84.3150525,27000,Walmart Supercentre,,,112,46.5413238,-84.3150525,,,,112,890.383,854.341,836.754,784.038,692.622,695.392,739.848,725.808,727.4,715.952,808.176,720.807,799.729,674.697,696.418,783.636,690.119,787.126,697.497,801.259,536.378,689.102,690.951,782.021,672.232,541.582,685.689,689.839,693.02,665.016,652.546,673.608,646.922,678.993,436.765,569.03,653.052,670.979,675.187,643.319,667.532,657.328,660.857,670.898,682.566,653.891,683.358,627.353,670.409,690.867,532.162,698.448,597.481,690.82,675.321,697.811,661.123,590.819,708.665,682.441,738.453,693.839,749.9,689.629,692.563,718.613,728.978,693.258,740.328,626.816,699.78,558.183,742.68,736.69,584.475,462.653,750.114,675.163,738.07,621.228,760.806,745.015,769.505,741.811,713.572,751.79,760.881,759.435,765.593,764.41,728.2,720.99,680.056,315.298,713.555,743.273,688.586,306.04,685.361,687.037,675.242,676.227,660.646,430.455,731.07,639.726,692.316,644.457,577.256,642.421,623.78,571.864,0,14.183,686.371,889.864,853.62,758.236,837.689,784.884,776.895,695.954,709.055,796.025,794.407,700.143,535.356,685.424,541.375,682.041,689.094,684.107,679.067,701.959,694.204,570.029,433.366,654.621,656.042,682.332,685.41,752.132,752.648,598.576,706.607,705.957,675.42,587.86,533.397,695.978,727.938,749.891,462.307,675.34,621.591,762.363,768.994,741.793,756.532,759.215,720.909,692.601,704.93,679.899,305.908,674.828,666.49,743.078,692.29,568.38,617.447,0.426,12.793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,113,46.4647304,-84.365454,36000,Walmart Supercenter,,,113,46.4647304,-84.365454,,,,113,899.972,863.931,846.344,793.627,702.212,704.981,749.437,735.398,736.99,725.542,867.221,730.397,858.774,684.286,706.007,842.681,699.709,846.171,707.087,860.305,545.968,698.692,700.541,841.067,681.822,551.172,695.279,699.428,702.61,674.605,662.136,683.197,656.512,688.583,446.355,578.62,662.641,680.569,684.777,652.909,677.122,666.917,670.447,680.488,692.156,663.481,692.948,636.943,679.999,700.456,541.751,708.038,607.07,700.41,684.911,707.4,670.712,600.409,819.198,692.031,797.074,703.429,794.19,699.219,702.153,802.707,796.14,702.848,798.987,636.405,802.432,567.773,784.713,791.22,594.065,472.243,772.239,684.753,783.996,630.818,750.583,781.778,759.282,760.756,808.671,762.256,772.517,762.683,777.23,764.675,717.977,710.767,689.645,324.887,703.332,733.05,767.941,315.63,675.138,676.814,665.018,666.004,650.423,443.436,767.762,629.503,682.093,634.234,567.033,655.403,613.557,561.641,13.716,0,695.96,899.454,863.21,767.826,847.278,794.474,786.485,705.544,718.645,855.071,853.453,709.733,544.945,695.014,550.965,691.631,698.684,693.697,688.656,711.549,703.794,579.619,442.956,664.211,665.632,691.922,695,811.178,811.693,608.166,716.197,811.377,685.01,597.45,542.987,810.873,795.923,785.032,471.896,684.93,631.181,752.14,758.771,760.795,768.168,762.811,710.686,761.577,694.707,689.489,315.498,664.605,656.267,732.854,682.067,558.157,607.224,13.358,2.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
